title,authors,published_date,categories,description,rating
Kindred,Octavia E. Butler,2004-02-01,Fiction,"NEW FOREWORD BY JANELLE MONÁE Selected by The Atlantic as one of THE GREAT AMERICAN NOVELS. From the New York Times bestselling author of Parable of the Sower and MacArthur “Genius” Grant, Nebula, and Hugo award winner The visionary time-travel classic whose Black female hero is pulled through time to face the horrors of American slavery and explores the impacts of racism, sexism, and white supremacy then and now. “I lost an arm on my last trip home. My left arm.” Dana’s torment begins when she suddenly vanishes on her 26th birthday from California, 1976, and is dragged through time to antebellum Maryland to rescue a boy named Rufus, heir to a slaveowner’s plantation. She soon realizes the purpose of her summons to the past: protect Rufus to ensure his assault of her Black ancestor so that she may one day be born. As she endures the traumas of slavery and the soul-crushing normalization of savagery, Dana fights to keep her autonomy and return to the present. Blazing the trail for neo-slavery narratives like Colson Whitehead’s The Underground Railroad and Ta-Nehisi Coates’s The Water Dancer, Butler takes one of speculative fiction’s oldest tropes and infuses it with lasting depth and power. Dana not only experiences the cruelties of slavery on her skin but also grimly learns to accept it as a condition of her own existence in the present. “Where stories about American slavery are often gratuitous, reducing its horror to explicit violence and brutality, Kindred is controlled and precise” (New York Times). “Reading Octavia Butler taught me to dream big, and I think it’s absolutely necessary that everybody have that freedom and that willingness to dream.” —N. K. Jemisin",2.5
The Kite Runner,Khaled Hosseini,2009-02-24,Fiction,"THE NUMBER ONE BESTSELLER 'Devastating' Daily Telegraph 'Heartbreaking' The Times 'Unforgettable' Isabel Allende 'Haunting' Independent Afghanistan, 1975: Twelve-year-old Amir is desperate to win the local kite-fighting tournament and his loyal friend Hassan promises to help him. But neither of the boys can foresee what will happen to Hassan that afternoon, an event that is to shatter their lives. After the Russians invade and the family is forced to flee to America, Amir realises that one day he must return to Afghanistan under Taliban rule to find the one thing that his new world cannot grant him: redemption.",4
The Curious Case of Benjamin Button,F. Scott Fitzgerald,2008,Nineteen twenties,"""The Curious Case of Benjamin Button"" is one of F. Scott Fitzgerald's most memorable short stories. The protagonist, Benjamin Button, is born an old man and ages in reverse until he becomes a baby and then finally vanishes from the earth. In a short introduction to the story, Fitzgerald wrote: ""This story was inspired by a remark of Mark Twain's to the effect that it was a pity that the best part of life came at the beginning and the worst part at the end. By trying the experiment upon only one man in a perfectly normal world I have scarcely given his idea a fair trial. Several weeks after completing it, I discovered an almost identical plot in Samuel Butler's 'Note-books.' ""The Curious Case of Benjamin Button"" was the inspiration for the major motion picture of the same name and remains one of Fitzgerald's most haunting and beautiful tales. This collection also includes three other Jazz Age tales by Fitzgerald.",4
Eight Perfect Murders,Peter Swanson,2020-03-03,Fiction,"New York Times bestseller “Swanson rips us from one startling plot twist to the next… A true tour de force.” —Lisa Gardner “[A] multilayered mystery that brims with duplicity, betrayal and revenge.” —USA Today From the hugely talented author of The Kind Worth Killing comes a chilling tale of psychological suspense and an homage to the thriller genre tailor-made for fans: the story of a bookseller who finds himself at the center of an FBI investigation because a very clever killer has started using his list of fiction’s most ingenious murders. Years ago, bookseller and mystery aficionado Malcolm Kershaw compiled a list of the genre’s most unsolvable murders, those that are almost impossible to crack—which he titled “Eight Perfect Murders”—chosen from among the best of the best including Agatha Christie’s A. B. C. Murders, Patricia Highsmith’s Strangers on a Train, Ira Levin’s Deathtrap, A. A. Milne's The Red House Mystery, Anthony Berkeley Cox's Malice Aforethought, James M. Cain's Double Indemnity, John D. MacDonald's The Drowner, and Donna Tartt's The Secret History. But no one is more surprised than Mal, now the owner of the Old Devils Bookstore in Boston, when an FBI agent comes knocking on his door one snowy day in February. She’s looking for information about a series of unsolved murders that look eerily similar to the killings on Mal’s old list. And the FBI agent isn’t the only one interested in this bookseller who spends almost every night at home reading. The killer is out there, watching his every move—a diabolical threat who knows way too much about Mal’s personal history, especially the secrets he’s never told anyone, even his recently deceased wife. To protect himself, Mal begins looking into possible suspects . . . and sees a killer in everyone around him. But Mal doesn’t count on the investigation leaving a trail of death in its wake. Suddenly, a series of shocking twists leaves more victims dead—and the noose around Mal’s neck grows so tight he might never escape.",4.5
Om Juan,Karl Valerie,2022-04-11,Fiction,"Juan Perwira, pria matang berwajah rupawan itu menyeringai mesum melihat gadis kecil yang terlihat sudah tertidur lelap di atas ranjangnya. Dengan menjilat bibirnya yang tiba-tiba mengering karena kemolekan gadis belia tersebut yang terlapisi baju tidur satin yang berukuran minim, dia semakin mendekati tempat gadis itu terbaring. ""Saatnya bermain, Baby."" bisik Juan tepat di telinga sang gadis yang tampak tidak terusik dalam tidurnya. Juan semakin menyeringai lebar, mendapati keponakan gadisnya yang sangat lelap tanpa terganggu sedikitpun dengan gerakan tangannya yang sedang menjamah tubuhnya. ""Ini salah kamu karena udah buat Om Juan tergoda sama tubuh kamu, Stella."" desis Juan tanpa menghentikan jamahannya pada tubuh gadis yang merupakan keponakannya.",5
Watership Down,Richard Adams,2009-07-14,Fiction,"Now with a new introduction by Madeline Miller, the New York Times bestselling author of The Song of Achilles and Circe. The 50th anniversary edition of Richard Adam’s timeless classic, the tale of a band of wild rabbits struggling to hold onto their place in the world—“a classic yarn of discovery and struggle” (The New York Times). A worldwide bestseller for over thirty years, Watership Down is one of the most beloved novels of all time. Set in England’s Downs, a once idyllic rural landscape, this stirring tale follows a band of very special creatures on their flight from the intrusion of man and the certain destruction of their home. Led by a stouthearted pair of brothers, they journey from their native Sandleford Warren, through the harrowing trials posed by predators and adversaries, and toward the dream of a mysterious promised land and a more perfect society. “Spellbinding…Marvelous…A taut tale of suspense, hot pursuit and derring-do.” —Chicago Tribune",4
Dammi mille baci,Tillie Cole,2018-06-21,Young Adult Fiction,"Un ragazzo. Una ragazza. Un legame creato in un istante e custodito per un decennio. Un amicizia che né il tempo né la distanza possono spezzare. Un amore che durerà oltre il destino. Poppy Litchfield ha solo nove anni quando si lancia nell’avventura più grande della sua vita, collezionare mille baci capaci di farle scoppiare il cuore. Il suo vicino di casa e migliore amico è il perfetto compagno per quest’avventura. Poppy ha tutto quello che potrebbe desiderare: gioia, risate, baci da togliere il fiato, e il vero amore. Ma crescere è difficile e l’amore può non essere in grado di superare tutti gli ostacoli... Quando il diciassettenne Rune Kristiansen torna nella tranquilla cittadina della Georgia in cui ha abitato da bambino, ha in mente solo una cosa. Scoprire il motivo che ha spinto la sua inseparabile amica d’infanzia a escluderlo dalla sua vita senza una parola di spiegazione. Ma il suo cuore potrebbe rompersi di nuovo... Un bacio dura un attimo.Ma mille baci possono durare un’eternità. Una delle storie più intense, struggenti e devastanti che abbia letto. Ti entra nel cuore come solo pochi libri sanno fare. È una di quelle storie che rileggeresti mille volte... ""un indimenticabile"". Un amore incorruttibile, eterno, immenso. - Greta Book Lover's Mentre leggevo avevo le lacrime agli occhi, il cuore che mi batteva in gola e il respiro corto per tutte le emozioni che si sprigionavano dalle pagine di questo libro. Da spezzare il cuore, da togliere il fiato, indimenticabile e profondamente bello. Vale ogni singola lacrima. - Aestas Book Blog",5
Beyaz Kanatlı Vampir 6 - Derin Kuyu,ERKAN İŞERİ,2017-10-02,Fiction,"Beşinci kitapta yaşadığın maceranın biraz daha fazlasına hazır ol! İşler artık ciddileşiyor meseleler yerin dibinde görülüyor. Şimdi seni macerayla baş başa bırakalım. Şimdilik serinin 7. Kitabına kadar yayınlandı. Eğer tatlı bir korku soluksuz bir macera türünden hoşlanıyorsanız bu seri tam size göre. Keyifli okumalar. Birdenbire aileleri ortadan yok olan ve bu yüzden kimsesizler okulunda yatılı öğrenci olmak zorunda kalan iki kahramanın maceraları. Bu okul, hayatınızda görüp görebileceğiniz en berbat okuldur ormanın ortasına kondurulmuş, etrafında ağaçlardan başka hiçbir şey yoktur. Kahramanlarımızın talihsizlikleri bunlarla da kalmayıp bir de hırsızlıkla suçlanarak okuldan atılırlar ve bavullarıyla birlikte ormanda yapayalnız kalırlar. Birbirinden habersiz aynı suçla okuldan atılan kahramanların yolu tek bildikleri yer olan göl kıyısındaki bankta kesişir. Sert başlayan tanışma faslı kısa süre sonra dostluğa dönüşür ve macera başlar. Basılı versiyonunu satın almak için link aşağıda https://www.kitapyurdu.com/kitap/derin-kuyu--beyaz-kanatli-vampir-6/438851.html",5
Dawnshard,Brandon Sanderson,2020-11-10,Fiction,"From Brandon Sanderson—author of the #1 New York Times bestselling Stormlight Archive and its fourth massive installment, Rhythm of War—comes a new hefty novella, Dawnshard. Taking place between Oathbringer and Rhythm of War, this tale (like Edgedancer before it) gives often-overshadowed characters their own chance to shine. When a ghost ship is discovered, its crew presumed dead after trying to reach the storm-shrouded island Akinah, Navani Kholin must send an expedition to make sure the island hasn't fallen into enemy hands. Knights Radiant who fly too near find their Stormlight suddenly drained, so the voyage must be by sea. Shipowner Rysn Ftori lost the use of her legs but gained the companionship of Chiri-Chiri, a Stormlight-ingesting winged larkin, a species once thought extinct. Now Rysn's pet is ill, and any hope for Chiri-Chiri’s recovery can be found only at the ancestral home of the larkin: Akinah. With the help of Lopen, the formerly one-armed Windrunner, Rysn must accept Navani's quest and sail into the perilous storm from which no one has returned alive. If the crew cannot uncover the secrets of the hidden island city before the wrath of its ancient guardians falls upon them, the fate of Roshar and the entire Cosmere hangs in the balance.",5
Como eu era antes de você,Jojo Moyes,2013-04-19,Fiction,"Aos 26 anos, Louisa Clark não tem muitas ambições. Ela mora com os pais, a irmã mãe solteira, o sobrinho pequeno e um avô que precisa de cuidados constantes desde que sofreu um derrame. Trabalha como garçonete num café, um emprego que não paga muito, mas ajuda nas despesas, e namora Patrick, um triatleta que não parece interessado nela. Não que ela se importe. Quando o café fecha as portas, Lou é obrigada a procurar outro emprego. Sem muitas qualificações, consegue trabalho como cuidadora de um tetraplégico. Will Traynor, de 35 anos, é inteligente, rico e mal-humorado. Preso a uma cadeira de rodas depois de um acidente de moto, o antes ativo e esportivo Will desconta toda a sua amargura em quem estiver por perto. Tudo parece pequeno e sem graça para ele, que sabe exatamente como dar um fim a esse sentimento. O que Will não sabe é que Lou está prestes a trazer cor a sua vida. E nenhum dos dois desconfia de que irá mudar para sempre a história um do outro. Como eu era antes de você é uma história de amor e uma história de família, mas acima de tudo é uma história sobre a coragem e o esforço necessários para retomar a vida quando tudo parece acabado. “Incrivelmente comovente.” Marie Claire (Reino Unido) “Uma leitura extremamente envolvente e maravilhosamente romântica.” Daily Telegraph “Um livro impossível de largar.” USA Today “Como eu era antes de você é uma história sobre amor, aprendizado e perda. Um livro extraordinário.” Daily Mail “Uma história sobre como o amor é capaz de florescer nas situações mais improváveis.” Elle, Reino Unido “Em sua essência, um livro sobre duas pessoas que aprendem a ouvir uma a outra.” Independent on Sunday “Uma história de amor improvável. Um livro para ser devorado entre lágrimas.” O, The Oprah Magazine BEST-SELLER VEJA",4.5
